Num Questions,Chosen Dinosaur,Questions Asked
4,Gerald,[]
5,Carlton,[]
4,Gerald,[]
3,Kenneth,[]
6,Yorick,[]
5,Eleanor,[]
4,Kenneth,[]
3,Kenneth,[]
3,Reginald,[]
3,Reginald,[]
6,Beatrice,[]
5,Amelia,[]
3,Ulysses,[]
6,Nigel,[]
5,Dennis,[]
3,Carlton,[]
5,Jeannine,[]
5,Xavier,[]
6,Tabitha,[]
5,Jeannine,[]
6,Dennis,[]
4,Nigel,[]
6,Eleanor,[]
4,Reginald,[]
6,Harriet,[]
7,Sebastian,[]
5,Reginald,[]
4,Sebastian,[]
6,Xavier,[]
4,Jeannine,[]
7,Tabitha,[]
6,Yorick,[]
6,Winston,[]
4,Vincent,[]
5,Xavier,[]
4,Harriet,[]
5,Tabitha,[]
6,Dennis,[]
4,Tabitha,[]
4,Jeannine,[]
6,Xavier,[]
6,Amelia,[]
5,Reginald,[]
5,Winston,[]
3,Quinton,[]
6,Carlton,[]
6,Gerald,[]
4,Lloyd,[]
6,Xavier,[]
5,Carlton,[]
5,Gerald,[]
4,Winston,[]
6,Eleanor,[]
4,Winston,[]
5,Quinton,[]
4,Beatrice,[]
4,Amelia,[]
4,Winston,[]
5,Eleanor,[]
3,Kenneth,[]
6,Yorick,[]
4,Jeannine,[]
5,Amelia,[]
4,Winston,[]
5,Reginald,[]
3,Carlton,[]
6,Lloyd,[]
6,Amelia,[]
5,Tabitha,[]
5,Yorick,[]
5,Gerald,[]
5,Vincent,[]
4,Jeannine,[]
4,Lloyd,[]
4,Vincent,[]
4,Eleanor,[]
5,Lloyd,[]
4,Xavier,[]
5,Kenneth,[]
4,Amelia,[]
4,Nigel,[]
6,Sebastian,[]
6,Lloyd,[]
5,Winston,[]
5,Lloyd,[]
5,Kenneth,[]
6,Vincent,[]
3,Quinton,[]
4,Winston,[]
3,Yorick,[]
6,Xavier,[]
5,Xavier,[]
7,Tabitha,[]
3,Carlton,[]
3,Beatrice,[]
5,Sebastian,[]
3,Beatrice,[]
3,Winston,[]
6,Gerald,[]
4,Amelia,[]
5,Reginald,[]
5,Vincent,[]
6,Sebastian,[]
7,Dennis,[]
5,Lloyd,[]
4,Sebastian,[]
5,Beatrice,[]
6,Xavier,[]
6,Reginald,[]
3,Reginald,[]
6,Vincent,[]
3,Carlton,[]
6,Vincent,[]
4,Ulysses,[]
6,Gerald,[]
4,Gerald,[]
7,Dennis,[]
4,Lloyd,[]
5,Winston,[]
6,Lloyd,[]
6,Jeannine,[]
6,Lloyd,[]
5,Sebastian,[]
5,Eleanor,[]
4,Nigel,[]
6,Reginald,[]
5,Dennis,[]
6,Yorick,[]
6,Tabitha,[]
3,Kenneth,[]
4,Gerald,[]
4,Jeannine,[]
6,Amelia,[]
3,Ulysses,[]
4,Tabitha,[]
6,Tabitha,[]
6,Dennis,[]
4,Lloyd,[]
7,Dennis,[]
5,Nigel,[]
5,Kenneth,[]
4,Gerald,[]
5,Eleanor,[]
5,Gerald,[]
5,Dennis,[]
6,Xavier,[]
6,Tabitha,[]
3,Reginald,[]
3,Carlton,[]
3,Carlton,[]
6,Jeannine,[]
4,Yorick,[]
3,Kenneth,[]
4,Gerald,[]
6,Eleanor,[]
5,Yorick,[]
5,Vincent,[]
7,Xavier,[]
5,Kenneth,[]
6,Vincent,[]
4,Amelia,[]
3,Beatrice,[]
4,Harriet,[]
5,Winston,[]
4,Ulysses,[]
3,Winston,[]
3,Harriet,[]
5,Vincent,[]
4,Carlton,[]
3,Quinton,[]
4,Ulysses,[]
6,Xavier,[]
7,Tabitha,[]
7,Tabitha,[]
6,Tabitha,[]
5,Tabitha,[]
4,Jeannine,[]
7,Dennis,[]
4,Eleanor,[]
5,Xavier,[]
6,Quinton,[]
5,Gerald,[]
5,Gerald,[]
6,Vincent,[]
4,Dennis,[]
5,Amelia,[]
4,Carlton,[]
3,Beatrice,[]
4,Ulysses,[]
5,Reginald,[]
6,Vincent,[]
5,Tabitha,[]
3,Kenneth,[]
3,Yorick,[]
6,Nigel,[]
6,Xavier,[]
3,Carlton,[]
6,Lloyd,[]
4,Yorick,[]
5,Tabitha,[]
5,Amelia,[]
6,Reginald,[]
3,Kenneth,[]
4,Dennis,[]
5,Yorick,[]
6,Quinton,[]
4,Ulysses,[]
5,Dennis,[]
4,Harriet,[]
4,Winston,[]
3,Jeannine,[]
6,Tabitha,[]
5,Winston,[]
4,Eleanor,[]
5,Beatrice,[]
6,Eleanor,[]
4,Harriet,[]
4,Ulysses,[]
3,Yorick,[]
4,Dennis,[]
5,Gerald,[]
5,Winston,[]
